Core_Material,Size,Zeta_Potential,Tumor_Size,Tumor,Heart,Liver,Spleen,Lung,Kidney
Other-Albumin,HD: 134.7,-35.1,300 mm3 = 0.3 cm3,3.4,1.1983,51.31,5.45,2.72,0.98
,,,,3.4,2.2876,83.01,5.88,2.61,1.2
,,,,3.58,1.0893,89.43,9.48,3.7,1.74
,,,,3.21,4.3573,93.79,6.32,2.83,1.85
,,,,3.4,1.634,42.92,1.96,1.85,1.2
,,,,3.21,1.0893,29.74,1.31,1.09,0.98
,,,,0.57,1.3072,9.48,0.65,0.98,0.65
Polymeric,HD: 142.2,-31,300 mm3 = 0.3 cm3,1.25,0.9783,60.43,4.35,1.63,1.74
,,,,2.5,0.5435,64.78,7.07,1.63,1.63
,,,,2.92,0.7609,70.98,8.8,2.17,1.74
,,,,6.46,0.7609,81.09,6.74,2.5,1.09
,,,,5.83,0.6522,45.22,5.33,1.74,1.52
,,,,3.96,0.7609,26.3,3.7,0.54,0.98
,,,,0.83,0.3261,9.78,1.74,0.54,0.65
"Polymeric/
Hydrogel",HD: 122.5,-30.1,100 mm3=0.1 cm3,0.04,0.0145,0.35,0.01,0.04,0.08
,,,,0.04,0.0092,0.34,0.02,0.03,0.06
,,,,0.04,0.0056,0.24,0.02,0.02,0.05
"Polymeric/
Hydrogel",HD: 218.6,-30.1,100 mm3=0.1 cm3,0.06,0.0074,0.27,0.03,0.04,0.05
,,,,0.06,0.0042,0.27,0.01,0.03,0.06
,,,,0.05,0.0017,0.17,0,0.02,0.06
Polymeric,HD: 8.6,,~150 mm3 = 0.15 cm3,0.45,,,,,
,,,,0.54,,,,,
,,,,0.6,,,,,
,,,,0.58,,,,,
,,,,0.65,,,,,
,,,,0.48,,,,,
Polymeric,HD: 25.6,,~150 mm3 = 0.15 cm3,1.29,,,,,
,,,,1.64,,,,,
,,,,2.15,,,,,
,,,,1.62,,,,,
,,,,2.18,,,,,
,,,,1.6,,,,,
Polymeric,TEM: 150,-22.1,50-100 mm3 = 0.075 cm3,0.08,0.0752,31.33,1.19,0.5,0.46
,,,,0.13,0.0602,26,1.08,0.38,0.43
,,,,0.17,0.0602,20.51,0.89,0.23,0.4
,,,,0.19,0.0301,8.48,0.22,0.05,0.19
Polymeric,TEM: 135; HD: 143,,50 mm3 = 0.05 cm3,0.21,0.3333,21.28,1.65,1.08,2.76
,,,,0.23,0.3575,21.55,1.43,0.95,1.15
,,,,0.19,0.1091,16.66,1.02,0.8,0.54
Polymeric,TEM: 138; HD: 149,,50 mm3 = 0.05 cm3,0.29,0.4092,18.3,1.44,0.82,3.04
,,,,0.32,0.3508,16.92,1.23,0.69,2.53
,,,,0.29,0.2163,13.71,0.94,0.59,1.13
Other-TD,TEM: 143.1; HD: 161.1,-31.1,150 mm3 = 0.15 cm3,0.05,0.007,0.55,0.16,0.03,0.18
,,,,0.08,0.0031,0.27,0.12,0.01,0.07
,,,,0.12,0.0063,0.43,0.06,0.02,0.13
,,,,0.11,0.0172,0.88,0.13,0.03,0.14
Polymeric,TEM: 130; HD: 166.1,-36.7,100 mm3=0.1 cm3,0.09,0.202,4.51,0.14,0.17,0.17
,,,,0.16,0.1019,4.11,0.12,0.14,0.19
,,,,0.18,0.0604,2.36,0.11,0.08,0.2
Other-10-HCPT (SN38),TEM: 133.5; HD: 140,-27.1,100 mm3=0.1 cm3,0.04,0.0287,34.54,0.08,0.1,4.61
,,,,0.05,0.0214,52.85,0.04,0.07,1.96
,,,,0.08,0.012,36.2,0.02,0.04,1.28
,,,,0.07,0.0073,29.78,0.02,0.03,1.01
,,,,0.05,0.0043,9.1,0.01,0.02,0.55
,,,,0.01,0.0025,7.67,0.01,0.02,0.33
Other-Graphene,HD: NA,-6,20 mm3 = 0.02 cm3,0.14,0.1297,3,0.29,0.5,0.43
,,,,0.19,0.2154,5.99,0.4,0.43,0.64
,,,,0.08,0.2007,3.64,0.29,0.29,0.36
Other-Graphene,HD: NA,-5.96,20 mm3 = 0.02 cm3,0.17,0.1427,2.4,0.22,0.46,0.38
,,,,0.24,0.1831,4.92,0.42,0.4,0.55
,,,,0.15,0.1569,3.42,0.28,0.3,0.29
Polymeric,HD: 76.3,-13,85 mm3 = 0.085 cm3,0.25,,,,,
,,,,0.32,,,,,
,,,,0.45,,,,,
,,,,0.62,0.2027,12.21,1.08,0.51,0.65
,,,,0.42,0.0507,9.24,1.19,0.19,0.46
,,,,0.21,0.006,4.36,0.94,0.01,0.11
,,,,0.03,0,1,0.09,0,0.01
Polymeric,HD: 150,0,100-150 mm3 = 0.125 cm3,0.47,0.273,11.78,0.36,0.14,1.29
,,,,0.44,0.1674,6.24,0.26,0.15,0.58
,,,,0.38,0.0983,4.24,0.24,0.1,0.46
Polymeric,HD: 153,0,100-150 mm3 = 0.125 cm3,0.92,0.2345,8.79,0.25,0.14,1.13
,,,,0.84,0.1666,5.19,0.14,0.13,0.57
,,,,0.6,0.0956,3.29,0.13,0.08,0.42
Polymeric,HD: 146,-22.7,150-200 mm3 = 0.175 cm3,0.24,,,,,
,,,,0.17,,,,,
,,,,0.14,,,,,
Polymeric,TEM: 150; HD: 166.4,12.3,100 mm3=0.1 cm3,0.05,,11.07,0.36,0.54,0.12
,,,,0.09,,8.3,0.39,0.44,0.25
,,,,0.1,,4.81,0.22,0.26,0.1
,,,,0.13,,0.96,0.13,0.19,0.15
,,,,0.3,,1.14,0.13,0.06,0.04
,,,,0.07,,0.42,0.08,0.02,0
Polymeric,TEM: 150; HD: 175.1,8.7,100 mm3=0.1 cm3,0.05,,13.59,0.55,0.78,0.41
,,,,0.1,,14.26,0.35,0.52,0.25
,,,,0.19,,3.01,0.28,0.38,0.32
,,,,0.21,,1.8,0.25,0.24,0.09
,,,,0.39,,1.74,0.11,0.06,0.05
,,,,0.11,,0.66,0.13,0.03,0
Other-Soy protein,TEM: 100; HD: 204.7,-26.9,200 mm3 = 0.2 cm3,0.59,0.588,16.38,0.75,0.65,2.09
,,,,0.61,0.532,15.01,0.76,0.43,2.02
,,,,0.45,0.4536,12.2,0.52,0.36,1.71
,,,,0.39,0.3024,12.67,0.62,0.32,1.92
,,,,0.3,0.2912,10.79,0.53,0.34,1.66
,,,,0.23,0.224,8.23,0.46,0.21,1.53
Other-Soy protein,TEM: 100; HD: 220.3,-38,200 mm3 = 0.2 cm3,0.55,0.5177,14.35,0.69,0.33,1.59
,,,,0.63,0.4626,13.05,0.59,0.38,1.5
,,,,0.57,0.3194,13.59,0.48,0.2,1.33
,,,,0.53,0.3635,10.49,0.44,0.19,1.27
,,,,0.39,0.3304,10.78,0.47,0.21,1.25
,,,,0.35,0.2643,8.6,0.42,0.17,1.12
Other-Curcumin,HD: 186.3,-19,100 mm3=0.1 cm3,0.01,0.4112,0.14,1.14,0.12,0.19
,,,,0.01,0.2806,0.16,1.12,0.11,0.18
,,,,0.01,0.2709,0.52,1.09,0.09,0.18
,,,,0.01,0.208,0.18,0.63,0.07,0.17
,,,,0.01,0.1984,0.11,0.46,0.07,0.16
,,,,0.01,0.1984,0.09,0.24,0.07,0.15
Polymeric/Liposome,TEM: 47.82; HD: 56.2,0,100 mm3=0.1 cm3,0.14,0.1404,1.64,0.13,0.14,0.34
,,,,0.36,0.1448,1.64,0.18,0.17,0.38
,,,,0.46,0.0955,1.71,0.16,0.17,0.3
Polymeric,HD: 20.3,-2,150 mm3 = 0.15 cm3,0.64,0.0141,2.85,0.1,0.12,1.51
,,,,0.67,0.0884,8,0.29,0.03,2.2
,,,,0.8,0.2227,0.46,0.48,0.17,1.65
,,,,0.89,0.2369,0.78,0.32,0.22,1.1
Polymeric,HD: 197.4,-20.4,300 mm3 = 0.3 cm3,2.83,0.3107,31.81,0.71,0.45,3.75
,,,,3.5,0.261,32.57,0.77,0.54,6.15
,,,,3.1,0.2797,37.25,1.02,0.41,5.85
,,,,2.73,0.2859,28.78,0.7,0.37,5.07
,,,,2.59,0.2983,20.5,0.61,0.32,3.89
,,,,2.42,0.2735,18.84,0.6,0.29,1.66
Polymeric,HD: 276.8,-23.5,300 mm3 = 0.3 cm3,1.94,0.3466,34.31,0.6,0.42,3.52
,,,,2.7,0.3101,36.77,0.66,0.44,4.9
,,,,2.53,0.3162,39.13,0.75,0.35,4.38
,,,,2.39,0.2858,27.28,0.64,0.31,3.59
,,,,2.34,0.2979,25.05,0.47,0.3,2.46
,,,,2.23,0.2371,21.63,0.43,0.27,1.55
Polymeric,HD: 350,-27.2,300 mm3 = 0.3 cm3,1.02,0.4203,37,0.51,0.4,2.86
,,,,1.22,0.4083,38.87,0.56,0.43,3.77
,,,,1.09,0.3483,40.84,0.61,0.32,3.09
,,,,0.95,0.3302,32.29,0.6,0.27,2.75
,,,,0.92,0.30620000000000003,29.27,0.4,0.22,2.02
,,,,0.92,0.2762,24.51,0.39,0.23,1.32
Polymeric,HD: 258.3,-23.7,300 mm3 = 0.3 cm3,1.87,0.2969,27.8,0.66,0.29,2.34
,,,,3.12,0.3217,28.65,0.67,0.31,2.6
,,,,3.43,0.2969,30.63,0.79,0.35,2.98
,,,,2.95,0.2351,29.02,0.63,0.29,2.24
,,,,2.52,0.1732,21.77,0.45,0.24,2.01
,,,,2.41,0.1237,17.62,0.35,0.21,1.22
Polymeric,HD: 156.6,-23.7,300 mm3 = 0.3 cm3,3.07,0.1608,23.46,0.51,0.21,2.29
,,,,3.54,0.2227,26.48,0.6,0.28,2.57
,,,,4.56,0.2846,29.02,0.69,0.31,2.96
,,,,4.49,0.198,27.23,0.63,0.27,2.32
,,,,4.22,0.1732,25.16,0.44,0.22,2.14
,,,,3.81,0.1113,21.2,0.3,0.18,1.43
Other-Curcumin,TEM: 88.7,-15.6,200 mm3 = 0.2 cm3,0.29,0.2185,2.51,0.18,0.33,0.37
,,,,0.83,0.2252,2.63,0.22,0.38,0.32
,,,,0.89,0.2739,2.21,0.22,0.4,0.37
,,,,0.97,0.2834,2.71,0.26,0.44,0.4
,,,,1.08,0.3073,3.51,0.28,0.49,0.32
Liposome,HD: 115.7,-36.4,50 mm3 = 0.05 cm3,0.41,2.1296,19.76,2.46,3.74,7.72
,,,,0.25,1.2729,11.47,1.5,2.14,4.34
,,,,0.23,1.3096,11.37,1.45,1.87,3.48
,,,,0.21,1.1015,10.81,1.24,1.71,3.76
,,,,0.29,1.5544,14.08,1.67,2.25,4.41
,,,,0.2,1.0893,10.53,1.11,1.72,4.08
Polymeric,TEM: 165.3,25.1,~300 mm3 = 0.3 cm3,13.66,1.8225,8.63,4.7,,7.29
,,,,11.49,0.1918,5.66,3.65,,6.33
,,,,7.78,0.1918,3.65,2.3,,5.37
Polymeric,TEM: 184.3,21.1,~300 mm3 = 0.3 cm3,20.93,0.7674,9.88,5.18,,6.24
,,,,31.13,0.2878,12.18,4.12,,9.21
,,,,18.14,0.2878,3.45,2.11,,7.39
Liposome,HD: 112.6,-39.7,100 mm3=0.1 cm3,5.05,3.2214,27.28,2.07,3.64,5.79
,,,,4.9,3.99,30.89,2.59,4.56,7.78
,,,,6.19,4.317,32.63,3.15,5.24,8.35
,,,,6.37,4.9711,33.63,2.67,5.63,8.49
,,,,7.02,4.0718,31.51,2.37,6.04,6.97
Polymeric,TEM: 100; HD: 122.6,-15,100 mm3=0.1 cm3,0.37,0.7301,3.75,0.89,0.54,1.58
,,,,2.43,0.2727,9.58,0.24,0.15,0.67
,,,,1.03,0.5454,6.9,0.51,0.95,2.12
Liposome,HD: 57.3,34.5,200 mm3 = 0.2 cm3,0.26,,7.42,,0.54,1.15
,,,,0.31,,6.42,,0.41,0.87
,,,,0.09,,0.31,,0.01,0.01
Liposome,HD: 80.3,-36.9,200 mm3 = 0.2 cm3,0.36,,7.95,,0.6,1.07
,,,,0.46,,5.94,,0.48,0.93
,,,,0.15,,0.32,,0.01,0.01
Polymeric,HD: 107.3,23.3,200 mm3 = 0.2 cm3,0.55,,,,,
,,,,1.24,,,,,
,,,,1.35,,,,,
,,,,1.11,,,,,
,,,,0.65,,,,,
,,,,0.61,,,,,
Polymeric,HD: 190,26.1,200 mm3 = 0.2 cm3,0.53,,,,,
,,,,0.81,,,,,
,,,,0.87,,,,,
,,,,0.77,,,,,
,,,,0.55,,,,,
,,,,0.62,,,,,
Other-HCPT NR,HD: 168.6,24.2,400 mm3 = 0.4 cm3,1.13,0.0976,27.52,0.61,0.37,0.28
,,,,1.03,0.1005,16.98,0.23,0.35,0.41
,,,,0.92,0.0919,16.28,0.74,0.28,0.29
,,,,0.82,0.0478,17.16,0.32,0.04,0.29
,,,,0.74,0.0182,8.81,0.28,0.07,0.14
,,,,0.73,0.0077,6.27,0.23,0.04,0.13
Polymeric,TEM: 25; HD: 18.6,-1.8,100 mm3=0.1 cm3,0.52,0.3524,15.59,0.88,0.66,3.62
,,,,1.14,0.1846,10.44,0.55,0.48,2.59
,,,,1.13,0.1286,3.11,0.13,0.32,0.88
Polymeric,HD: 137,-15.6,200 mm3 = 0.2 cm3,0.33,0.0669,0.46,0.26,0.02,0.26
,,,,0.34,0.0517,0.47,0.25,0.05,0.13
,,,,0.3,0.0122,0.12,0.14,0.07,0.06
Polymeric,HD: 129,-9.1,200 mm3 = 0.2 cm3,0.27,0.0639,0.85,0.26,0.02,0.27
,,,,0.22,0.0441,0.36,0.26,0.05,0.15
,,,,0.29,0.0152,0.07,0.16,0.08,0.07
Polymeric,HD: 121,-2.4,~150 mm3 = 0.15 cm3,0.28,0.6503,2.97,0.81,0.75,1.82
,,,,0.2,0.389,1.34,0.34,0.22,0.71
,,,,0.15,0.4674,1.36,0.32,0.29,0.54
,,,,0.14,0.0788,0.33,0.03,0.06,0.12
Other-Anticancer drug,TEM: 48; HD: 54,0,100 mm3=0.1 cm3,0.14,0.0869,3.97,0.18,0.18,0.91
,,,,0.26,0.0754,3.41,0.14,0.12,0.78
,,,,0.23,0.032,1.11,0.08,0.11,0.23
Liposome,HD: 113.2,-53.2,100 mm3=0.1 cm3,0.11,,22.95,0.12,,
,,,,0.14,,27.51,0.23,,
,,,,0.16,,22.47,0.29,,
,,,,0.2,,15.3,0.18,,
,,,,0.15,,8.38,0.11,,
,,,,0.13,,5.21,0.08,,
,,,,0.08,,2.03,0.03,,
,,,,0.06,,1.06,0.02,,
Liposome,HD: 226.6,-52.4,100 mm3=0.1 cm3,0.07,,26.29,0.19,,
,,,,0.09,,29.79,0.31,,
,,,,0.13,,25.56,0.34,,
,,,,0.14,,20.27,0.26,,
,,,,0.11,,10.74,0.15,,
,,,,0.09,,6.27,0.11,,
,,,,0.05,,2.93,0.04,,
,,,,0.03,,0.98,0.02,,
Liposome,HD: 383.1,-53.9,100 mm3=0.1 cm3,0.03,,27.35,0.26,,
,,,,0.06,,33.62,0.35,,
,,,,0.1,,27.27,0.39,,
,,,,0.12,,21.81,0.32,,
,,,,0.09,,12.37,0.17,,
,,,,0.06,,8.14,0.13,,
,,,,0.03,,3.91,0.05,,
,,,,0.01,,1.3,0.03,,
Polymeric,HD: 96,0,60-100 mm3 = 0.08 cm3,3.95,0.3477,57.73,5.33,0.29,1.43
,,,,3.86,0.1217,67.53,6.9,0.17,1.04
,,,,4.42,0.0869,63.96,7.5,0.12,0.64
,,,,2.62,0.0522,76.27,8.05,0.14,0.93
,,,,1.56,0.0522,55.88,7.45,0.1,0.57
Polymeric,HD: 20,5,100 mm3=0.1 cm3,1.46,,,,,
,,,,1.79,,,,,
,,,,1.61,,,,,
Polymeric,HD: 20,5,100 mm3=0.1 cm3,1.69,,,,,
,,,,3.5,,,,,
,,,,3.24,,,,,
Polymeric,HD: 120,-18,320 mm3 = 0.32 cm3,0.34,,35.31,0.08,0.13,0.57
,,,,0.33,,33.64,0.08,0.16,0.58
,,,,0.43,,22.55,0.07,0.13,0.42
,,,,0.25,,8.51,0.04,0.05,0.12
,,,,0.14,,3.48,0.02,0.03,0.04
,,,,0.05,,0.9,0.01,0.02,0.01
Polymeric,HD: 282.1,-9.7,80-100 mm3 = 0.09 cm3,0.13,0.2433,4.75,0.21,0.83,0.52
,,,,0.17,0.2135,2.61,0.09,0.56,0.38
,,,,0.19,0.1837,1.82,0.08,0.4,0.33
,,,,0.16,0.144,1.53,0.06,0.29,0.28
,,,,0.12,0.1191,1.21,0.03,0.23,0.23
Hydrogel,TEM: 68.9; HD: 79.1,-40,100 mm3=0.1 cm3,0.69,0.5665,10.95,0.43,0.81,3.19
,,,,0.89,0.4618,7.11,0.56,0.82,2.56
,,,,0.71,0.2186,6.89,0.63,0.61,1.75
,,,,0.66,0.2525,4.78,0.56,0.51,1.12
,,,,0.35,0.1663,1.59,0.67,0.34,0.63
,,,,0.37,0.0862,0.52,0.52,0.19,0.22
,,,,0.28,0.0308,0.38,0.4,0.08,0.04
Hydrogel,TEM: 57.3; HD: 66.3,-40,100 mm3=0.1 cm3,0.48,0.5343,15.26,0.62,0.73,3
,,,,0.34,0.1859,11.26,0.66,0.74,2.17
,,,,0.41,0.0378,6.28,0.57,0.64,1.2
,,,,0.31,0.2091,6.06,0.81,0.56,1.3
,,,,0.2,0.0058,5.82,1,0.28,0.97
,,,,0.13,0.0058,3.47,0.67,0.18,0.35
,,,,0.1,0.0029,2.76,0.41,0.07,0.16
Polymeric,HD: 163.4,-19.6,100 mm3=0.1 cm3,3.16,2.737,30.58,2.33,3.94,6.72
,,,,3.99,2.9398,33.2,2.49,5.27,7.27
,,,,6.02,3.4264,36.13,3.01,6.46,8.14
,,,,6.29,3.9535,39.07,3.57,7.33,8.77
,,,,9.16,3.8521,40.15,3.88,8.28,7.27
,,,,11.01,4.4806,41.08,3.62,7.09,6.6
Polymeric,HD: 118.5,-13.7,100 mm3=0.1 cm3,1.94,2.993,28.56,2.32,4.2,6.71
,,,,2.77,3.3713,31.19,2.52,4.36,7.28
,,,,4.32,3.7002,32.94,3,5.18,8.16
,,,,5.55,3.9468,34.7,3.55,6.45,8.81
,,,,7.46,4.2593,37.33,3.84,7.6,7.28
,,,,8.61,4.0619,39.2,3.62,7.92,6.57
Hydrogel,HD: 161,-30.9,50 mm3 = 0.05 cm3,0.23,0.1431,16.35,1.44,0.85,1.28
,,,,0.28,0.1872,14.84,0.95,0.82,0.92
,,,,0.3,0.1101,14.68,0.92,0.68,0.85
,,,,0.41,0.1211,14.68,0.89,0.42,0.87
,,,,0.32,0.1211,15.18,1.03,0.45,1.12
,,,,0.28,0.0771,12.75,0.76,0.37,0.94
Dendrimer,TEM: 55; HD: 69.9,-2.1,619 mm3 = 0.62 cm3,3.5,0.3334,84.28,1.42,0.85,1.7
,,,,7.89,0.2381,70.25,1.53,0.48,1.14
,,,,10.31,0.5715,13.78,0.35,0.22,1.24
Polymeric,HD: 102.8,0,399 mm3 = 0.4 cm3,0.63,,8.57,0.99,0.89,1.1
,,,,1.35,,13.56,1.04,0.62,1.26
,,,,1.85,,18.55,1.84,0.35,1.02
,,,,2.02,,20.88,2.29,0.22,0.95
Polymeric,HD: 102.8,0,399 mm3 = 0.4 cm3,0.43,,9.82,1.04,1.21,1.21
,,,,0.93,,15.74,0.94,0.72,1.04
,,,,2.01,,20.57,1.89,0.39,1.16
,,,,2.35,,16.83,1.69,0.15,1.12
Polymeric,HD: 102.8,0,399 mm3 = 0.4 cm3,0.4,,8.42,1.04,1.14,1.34
,,,,0.93,,16.99,1.54,0.85,1.21
,,,,1.94,,16.36,2.43,0.35,1.23
,,,,2.38,,19.32,3.68,0.22,1.28
Polymeric,HD: 108,0,572 mm3 = 0.57 cm3,1.04,,12.47,1.89,1.07,1.34
,,,,1.26,,20.42,2.63,0.71,0.97
,,,,2.66,,27.74,3.68,0.18,1
,,,,2.96,,28.52,3.83,0.12,1.08
Polymeric,HD: 108,0,572 mm3 = 0.57 cm3,0.94,,12.31,1.89,1.19,1.25
,,,,1.62,,16.99,2.68,0.68,1.06
,,,,3.08,,25.71,4.07,0.24,1.31
,,,,3.94,,25.4,3.08,0.1,0.97
Polymeric,HD: 108,0,572 mm3 = 0.57 cm3,0.66,,7.79,1.89,0.71,1.07
,,,,1.79,,16.52,2.09,0.59,1.16
,,,,2.32,,22.6,3.23,0.24,1.34
,,,,3.45,,22.91,4.77,0.13,1.13
Polymeric,HD: 118,0,432 mm3 = 0.43 cm3,0.82,,11.07,5.02,0.91,1.08
,,,,0.88,,18.39,4.82,0.48,0.68
,,,,1.88,,17.45,7.95,0.43,0.52
,,,,1.2,,17.61,4.67,0.4,0.66
Polymeric,HD: 118,0,432 mm3 = 0.43 cm3,0.64,,12.16,6.26,0.7,0.92
,,,,0.66,,15.74,4.12,0.65,0.8
,,,,1.38,,17.45,8.65,0.24,0.66
,,,,1.51,,18.55,4.27,0.28,0.56
Polymeric,HD: 118,0,432 mm3 = 0.43 cm3,0.9,,9.82,5.91,0.77,1
,,,,1.25,,17.14,6.41,0.46,0.71
,,,,1.53,,17.77,9.99,0.38,0.83
,,,,1.99,,20.1,10.34,0.43,0.71
Polymeric,HD: 92,0,525 mm3 = 0.53 cm3,0.59,,6.73,0.94,1.27,0.95
,,,,1.78,,9.56,1.04,1.07,0.91
,,,,2.11,,16.15,1.46,0.42,0.67
,,,,1.64,,10.34,1.46,0.2,0.44
Polymeric,HD: 92,0,525 mm3 = 0.53 cm3,0.8,,3.75,1.34,1.48,1.32
,,,,1.47,,4.46,1.42,1.08,1.06
,,,,2.7,,12.61,1.87,0.5,0.94
,,,,3.25,,11.62,2.89,0.31,0.8
Polymeric,HD: 92,0,525 mm3 = 0.53 cm3,0.71,,4.89,1.14,1.39,1.34
,,,,1.32,,5.53,1.28,1.15,0.86
,,,,2.49,,6.84,3.21,0.98,0.89
,,,,3.45,,6.23,5.61,0.72,0.9
Other-Ginseng,HD: 122.5,-13.2,300 mm3 = 0.3 cm3,0.97,,,,,
,,,,1.25,,,,,
,,,,1,,,,,
,,,,0.38,,,,,
Other-Anticancer drug (PTX),HD: 190.5,-10.1,100 mm3=0.1 cm3,0.17,0.4871,43.93,1.96,0.84,2.01
,,,,0.09,0.1917,26.76,0.76,0.35,0.92
,,,,0.1,0.1036,20.31,0.86,0.13,0.54
,,,,0.24,0.1218,25.98,1.15,0.19,0.86
,,,,0.1,0.044,20.47,0.63,0.1,0.28
,,,,0.05,0.0104,1.89,0.08,0.06,0.06
Liposome,HD: 181.4,-5.7,1cm3,0.1,,4.24,0.32,0.31,0.58
,,,,15.15,,13.92,1.18,0.92,1.82
,,,,10.24,,10.54,0.93,0.34,0.87
Polymeric,TEM: 98.96,-19.2,400mm3 = 0.4cm3,0.23,0.02,14.27,0.02,0.008,0.007
,,,,0.06,0,7.46,0.02,0.025,0
,,,,0.03,0,5.05,0.005,0,0
Polymeric,TEM: 99.21,-20.3,400mm3 = 0.4cm3,0.17,0.01,8.27,0.02,0.006,0.009
,,,,0.06,0,1.34,0.01,0.001,0
,,,,0.01,0,0.98,0.001,0,0
Polymeric,TEM: 92.07,-21.2,400mm3 = 0.4cm3,0.16,0.01,2.83,0.01,0.005,0.003
,,,,0.1,0,0.42,0.001,0.005,0
,,,,0.19,0,0.15,0,0.002,0
Polymeric,TEM: 88.38,-22.2,400mm3 = 0.4cm3,0.2,0.01,9,0.01,0.006,0.011
,,,,0.12,0,0.65,0.002,0,0.002
,,,,0.01,0,0.15,0,0,0
Polymeric,TEM: 86.77,-21.5,400mm3 = 0.4cm3,0.39,0.08,12.34,0.04,0.021,0.038
,,,,0.21,0,3.87,0.03,0.008,0.018
,,,,0.1,0,2.51,0.01,0.004,0
Polymeric,TEM: 86.9,-18.9,400mm3 = 0.4cm3,0.91,0.18,32.63,0.07,0.042,0.044
,,,,0.32,0.06,22.18,0.1,0.025,0.018
,,,,0.22,0,17.7,0.06,0.008,0.008
Silica/Iron Oxide,TEM: 80; HD: 100,-32.5,0.46mm*0.46*0.46/2= 0.05cm3,2.01,,,,,
,,,,4.47,,,,,
,,,,4.71,,,,,
Polymeric,HD: 24.97,-15.5,150-200 = 0.15-0.2 cm3,3.77,,,,,
,,,,5.93,,,,,
,,,,12.32,,,,,
Polymeric,HD: 90,-13.9,50mm3 = 0.05cm3,0.14,,,,,
,,,,0.17,,,,,
,,,,0.18,,,,,
,,,,0.1,,,,,
Polymeric,HD: 90,-13.9,50mm3 = 0.05cm3,0.14,,,,,
,,,,0.16,,,,,
,,,,0.19,,,,,
,,,,0.09,,,,,
Polymeric,HD: 13,,100-250mm3 = 0.1-0.25 cm3,1.34,0.8851,18.55,0.9,3.04,3.61
,,,,0.94,0.8046,25.75,1.05,2.75,3.34
,,,,2.28,0.7011,29.03,1.46,1.83,2.57
,,,,4.56,0.2989,46.19,2.48,0.67,1.38
,,,,1.72,0.1149,49.35,1.91,0.18,1.15
,,,,0.61,0.1149,29.78,0.93,0.12,0.65
molybdenum disulfide,HD: 170,-43,200mm3 = 0.2cm3,0.32,0.0957,5.26,0.19,0.13,0.29
,,,,0.63,0.1159,10.51,0.39,0.15,0.54
,,,,0.81,0.1864,14.11,0.54,0.25,0.52
,,,,0.33,0.126,8.46,0.33,0.23,0.32
Polymeric,HD: 32,-12,500mm3 = 0.5cm3,3.52,0.3373,32.71,0.34,0.49,4.27
,,,,4.07,0.2781,27.04,0.45,0.42,2.64
,,,,5.05,0.2676,19.78,0.38,0.35,2.23
,,,,3.53,0.1484,13.52,0.25,0.29,2.15
,,,,2.89,0.0592,8.34,0.09,0.12,2.12
Polymeric,HD: 53,-16,500mm3 = 0.5cm3,2.89,0.3186,28.54,0.32,0.51,3.72
,,,,3.54,0.2489,26.04,0.41,0.46,2.76
,,,,4.2,0.2165,19.11,0.39,0.37,2.32
,,,,2.84,0.1054,13.94,0.27,0.32,2.2
,,,,2.21,0.0535,8.51,0.1,0.13,2.2
Polymeric,HD: 148,-23,500mm3 = 0.5cm3,2.59,0.3065,27.45,0.26,0.54,3.46
,,,,2.93,0.2327,24.45,0.4,0.52,2.94
,,,,3.08,0.1938,18.28,0.39,0.42,2.35
,,,,2.67,0.0778,14.35,0.3,0.38,2.27
,,,,2.17,0.0543,9.93,0.11,0.15,2.21
Polymeric,HD: 1200,,38.3mm3 = 0.0383cm3,0.01,2.2642,52.2,10.82,21.13,10.06
,,,,0.04,2.2642,60.75,12.58,11.82,9.94
,,,,0.06,3.0189,54.59,12.58,15.72,10.57
Polymeric,HD: 1200,,38.3mm3 = 0.0383cm3,0.01,1.5094,61.64,9.06,14.47,9.94
,,,,0.02,1.5094,63.27,9.06,14.84,8.81
,,,,0.07,1.3836,66.79,10.57,9.56,9.18
Polymeric,HD: 295.2,-42.9,38.3mm3 = 0.0383cm3,0.04,,,,,
,,,,0.03,,,,,
,,,,0.04,,,,,
Polymeric,HD: 295.2,-42.9,38.3mm3 = 0.0383cm3,0.02,,,,,
,,,,0.01,,,,,
,,,,0.01,,,,,
copper,HD: 123,-20.8,150mm3 = 0.15cm3,6.35,6.1731,36.89,21.68,10.09,3.91
,,,,6.47,4.2158,32.67,32.82,8.28,2.41
,,,,9.19,5.2698,26,25.55,9.23,3.01
Gadolinium,HD: 6.3,-6.9,7mm*7*7/2 = 0.172cm3,1.35,0.1455,4.87,0.04,0.28,16.8
,,,,0.91,0.0182,1.24,0.05,0.12,8.33
,,,,0.76,0.0145,0.52,0.02,0.04,3.24
Gadolinium,HD: 6.3,-6.9,7mm*7*7/2 = 0.172cm3,1.22,0.1407,4.64,0.04,0.33,17.04
,,,,0.44,0.0222,0.85,0.02,0.08,7.31
,,,,0.11,0.0037,0.16,0,0.03,2.78
Gadolinium,HD: 6.3,-6.9,7mm*7*7/2 = 0.172cm3,1.06,0.1354,5.38,0.03,0.23,17.83
,,,,0.37,0.0366,0.72,0.02,0.07,10.24
,,,,0.08,0.0037,0.48,0,0.02,3.39
"copper,cedium",HD: 150,,100 mm3 = 0.1 cm3,0.13,0.0563,4.83,0.13,0.09,0.29
